Date,HighTemp,Precip,NumFires
1/1/2013,40,0,128
1/2/2013,33,0,108
1/3/2013,32,0,101
1/4/2013,37,0,94
1/5/2013,42,0,107
1/6/2013,46,0,112
1/7/2013,45,0,102
1/8/2013,48,0,106
1/9/2013,49,0,95
1/10/2013,47,0,128
1/11/2013,46,0.55,113
1/12/2013,47,0.02,84
1/13/2013,50,0,79
1/14/2013,56,0.09,91
1/15/2013,38,0.12,65
1/16/2013,37,0.69,74
1/17/2013,43,0,88
1/18/2013,35,0,103
1/19/2013,51,0,102
1/20/2013,53,0,109
1/21/2013,32,0,96
1/22/2013,27,0,102
1/23/2013,20,0,115
1/24/2013,22,0,116
1/25/2013,24,0.07,144
1/26/2013,27,0,131
1/27/2013,34,0,122
1/28/2013,36,0.22,107
1/29/2013,49,0.06,90
1/30/2013,59,0.04,104
1/31/2013,61,0.9,101
2/1/2013,31,0,109
2/2/2013,29,0.02,121
2/3/2013,30,0.02,103
2/4/2013,30,0,101
2/5/2013,32,0.02,80
2/6/2013,39,0,83
2/7/2013,32,0,96
2/8/2013,34,1.15,145
2/9/2013,32,0.38,184
2/10/2013,36,0,289
2/11/2013,45,0.49,371
2/12/2013,44,0,137
2/13/2013,44,0.03,119
2/14/2013,46,0,93
2/15/2013,55,0,91
2/16/2013,41,0.02,105
2/17/2013,32,0,104
2/18/2013,35,0,102
2/19/2013,49,0.15,81
2/20/2013,38,0,87
2/21/2013,34,0,122
2/22/2013,38,0,106
2/23/2013,42,0.26,99
2/24/2013,47,0.01,113
2/25/2013,45,0,82
2/26/2013,44,0.14,97
2/27/2013,47,1.56,83
2/28/2013,51,0,82
3/1/2013,45,0,92
3/2/2013,40,0,100
3/3/2013,40,0,122
3/4/2013,42,0,115
3/5/2013,49,0,127
3/6/2013,42,0,110
3/7/2013,38,0.19,77
3/8/2013,42,0.54,154
3/9/2013,55,0,148
3/10/2013,50,0,114
3/11/2013,54,0,94
3/12/2013,57,0.79,113
3/13/2013,52,0,105
3/14/2013,41,0,113
3/15/2013,47,0,113
3/16/2013,41,0.12,149
3/17/2013,38,0,102
3/18/2013,35,0.65,111
3/19/2013,43,0.36,128
3/20/2013,45,0,120
3/21/2013,40,0,98
3/22/2013,41,0,94
3/23/2013,46,0,113
3/24/2013,47,0,122
